Phucanh product,Gearvn product,Fpt product,Gearvn similarity,Fpt similarity
Dell Vostro 3530 V5I5267W1,Dell Vostro 3530 V5I5267W1 Gray,Dell Vostro V3520 i5 1235U_71030559,0.9122807017543859,0.6557377049180328
Lenovo LOQ Gaming 15IRH8 82XV00QXVN,gaming Lenovo LOQ 15IRH8 82XV00Q4VN,Lenovo Gaming LOQ 15IAX9 i5-12450HX,0.7714285714285715,0.6
Dell Inspiron 5430,Dell Inspiron 15 3530 i5U085W11BLU,Dell Inspiron 15 N3530 i5 1335U,0.6538461538461539,0.6938775510204082
HP 14s ep0128TU 8U6L5PA,HP Pavilion 15 eg3112TU 8U6L9PA,HP 14-ep0112TU i5-1335U,0.6296296296296297,0.6086956521739131
Acer Aspire 5 Lite AL15-51M-55NB NX.KRSSV.001,Acer Aspire 5 A515 58M 56YX,Acer Aspire Lite AL15-51M-55NB i5-1155G7,0.5833333333333333,0.7529411764705882
Lenovo ThinkPad E14 GEN 5 21JK006QVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7777777777777778,0.7647058823529411
HP Envy X360 13-bf0114TU 7C0P0PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion X360 14-ek1047TU i7-1355U,0.47619047619047616,0.5217391304347826
HP Pavilion 15-eg3099TU 8C5M0PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 15-eg3095TU i5 1335U,0.8709677419354839,0.7619047619047619
Acer Aspire Gaming A515 58GM 53PZ NX.KQ4SV.008,gaming Acer Aspire 5 A515 58GM 53PZ,Acer Aspire 5 A515-58GM-53PZ i5 13420H,0.6666666666666667,0.6666666666666667
HP 240 G10 9H2E6PT,LG Gram 2023 16Z90R GAH76A5,HP 240 G10 i3-N305,0.4,0.6111111111111112
Samsung Galaxy Chromebook Go 11inch - XE310XDA,gaming Gigabyte G5 KF E3VN313SH,MSI Gaming Cyborg 15 A12UCX-618VN i5 12450H,0.4155844155844156,0.3820224719101124
Lenovo ThinkPad E14 GEN 5,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.7213114754098361,0.7796610169491526
Lenovo V15 G4 IRU 83A1000RVN,Lenovo V14 G4 IRU 83A0000TVN,Lenovo V14 G4 IRU i5 1335U,0.8928571428571429,0.6666666666666667
Dell Inspiron T7430 I7U165W11SLU,Dell Inspiron 14 T7430 i7U165W11SLU,Dell Inspiron 14 2in1 T7430 i7 1355U,0.9253731343283582,0.7058823529411764
Lenovo V15 G4 IRU,Lenovo V14 G4 IRU 83A0000TVN,Lenovo V14 G4 IRU i5 1335U,0.7111111111111111,0.7441860465116279
Asus Vivobook 15 X1504ZA-NJ582W,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook X1504VA-NJ526W i5 1335U,0.6865671641791045,0.7647058823529411
Lenovo ThinkPad E14 GEN 5,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.7213114754098361,0.7796610169491526
Asus Vivobook 15 X1504VA-NJ069W,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook X1504VA-NJ526W i5 1335U,0.7164179104477613,0.7647058823529411
Lenovo ThinkPad E16 GEN 1,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7540983606557377,0.8070175438596492
Dell Latitude 5430 L5430I714U3Y,Dell Latitude 3520 P108F001 70280538,Dell Inspiron 15 N3530 i7 1355U,0.5970149253731343,0.4838709677419355
HP 14s ep0112TU 8C5L1PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP 14-ep0112TU i5-1335U,0.6296296296296297,0.6956521739130435
Dell Latitude L34401335U08512G,Dell Latitude 3520 P108F001 70280538,Dell Vostro V3520 i5 1235U_71030559,0.6363636363636364,0.46153846153846156
HP Pavilion 14-dv2072TU 7C0W1PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 14-dv2072TU i7 1255U,0.6451612903225806,0.8253968253968254
Lenovo ThinkBook 14 G6 IRL 21KG00BUVN,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkBook 14 G6 IRL i5-13500H,0.6575342465753424,0.821917808219178
Lenovo ThinkBook 14 G6 ABP 21KJ005GVN,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkBook 16 G6 ABP R5-7530U,0.7123287671232876,0.75
Lenovo ThinkPad E14 GEN 5 21JK0069VA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7777777777777778,0.7647058823529411
Lenovo ThinkPad L14 GEN 4 21H1003AVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7222222222222222,0.7058823529411764
Dell Vostro 3420 71003348,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,0.8,0.6666666666666667
Lenovo V15 G4 IRU 83A1000NVN,Lenovo V14 G4 IRU 83A0000TVN,Lenovo V14 G4 IRU i5 1335U,0.8928571428571429,0.6666666666666667
Dell Gaming G15 5530 i7H165W11GR4060,gaming Dell G15 5530 i7H165W11GR4060,Dell Inspiron 15 N3530 i7 1355U,0.8333333333333334,0.5671641791044777
Lenovo ThinkPad L15 G2 20X300FHVN,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7246376811594203,0.7384615384615385
Lenovo ThinkBook 15 G5 IRL,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkBook 15 G5 ABP R5 7530U,0.5483870967741935,0.7868852459016393
Lenovo ThinkPad E16 GEN 1 21JN00FKVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.8611111111111112,0.7647058823529411
Dell Vostro 3520 71030559,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,0.76,0.8333333333333334
Lenovo ThinkPad T14 GEN 4 Winpro,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.6176470588235294,0.7272727272727273
Dell Vostro 3520 I5U165W11GRU KYHD,Dell Vostro 15 V3530 i7U085W11GRD2,Dell Vostro V3520 i5 1235U_71030559,0.7058823529411764,0.6086956521739131
Dell Inspiron 3530 71026454,Dell Inspiron 15 3530 i5U085W11BLU,Dell Inspiron 15 N3530 i7 1355U,0.6885245901639344,0.7586206896551724
Asus ExpertBook B1502CBA-NJ1137W,ASUS Expertbook B1 B1402CBA NK1535W,Asus Vivobook X1504VA-NJ526W i5 1335U,0.6865671641791045,0.5217391304347826
Asus TUF Gaming FX507ZC4-HN074W,gaming ASUS TUF F15 FX507ZC4 HN074W,Asus TUF Gaming FX507ZC4-HN095W i5 12500H,0.6363636363636364,0.8055555555555556
HP 15s fq5144TU 7C0R8PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP 15s-fq5144TU i7-1255U,0.4814814814814815,0.6808510638297872
Lenovo Yoga Slim 6 Slim 14IRH8 83E0000VVN OLED,Lenovo Yoga Slim 6 14IRH8 83E0000VVN,Lenovo Yoga Slim 6 14IRH8 i7 13700H,0.8780487804878049,0.7160493827160495
Dell Vostro 3530 80GG9,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,0.7659574468085106,0.631578947368421
HP Pavilion 15-eg3092TU 8C5L3PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 15-eg3095TU i5 1335U,0.9032258064516129,0.7936507936507937
Lenovo ThinkPad E14 GEN 5,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.7213114754098361,0.7796610169491526
HP Envy X360 13-bf0092TU 76V59PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion X360 14-ek1047TU i7-1355U,0.47619047619047616,0.5217391304347826
Asus Vivobook 15 OLED A1505VA-L1201W,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,0.9722222222222222,0.8292682926829268
Asus Vivobook 15 X1504VA-NJ025W,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook X1504VA-NJ526W i5 1335U,0.7164179104477613,0.7647058823529411
Lenovo ThinkPad E16 GEN 1 21JN006GVN,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.8888888888888888,0.7647058823529411
HP ProBook 450 G10 9H8V8PT,HP Pavilion 15 eg3111TU 8U6L8PA,HP ProBook 440 G10 i7 1360P,0.45614035087719296,0.7169811320754718
HP EliteBook 630 G10 9J0B7PT,Dell Vostro 3430 71011900,HP ProBook 440 G10 i7 1360P,0.41509433962264153,0.5818181818181818
Acer Aspire A315 59 51X8 NX.K6TSV.00F,Acer Aspire 5 A515 58M 56YX,Acer Aspire 3 A315-59-51X8 i5 1235U,0.625,0.6388888888888888
HP Pavilion x360 14-ek1048TU 80R26PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion X360 14-ek1047TU i7-1355U,0.6567164179104478,0.7397260273972603
HP EliteBook 630 G10 9J0B4PT,Dell Vostro 3430 71011900,HP ProBook 440 G10 i7 1360P,0.41509433962264153,0.5818181818181818
Lenovo ThinkPad X13 GEN 4,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.6557377049180328,0.711864406779661
Asus TUF Gaming FA506NC-HN011W,gaming ASUS TUF Gaming A15 FA506NC HN011W,Asus TUF Gaming FA506NC-HN011W R5-7535HS,0.7323943661971831,0.8571428571428572
Dell Latitude L34401335U16512G,Dell Latitude 3520 P108F001 70280538,Dell Vostro V3520 i5 1235U_71030559,0.5757575757575757,0.46153846153846156
HP EliteBook 630 G10 9J0B5PT,HP Pavilion 15 eg3091TU 8C5L2PA,HP ProBook 440 G10 i7 1360P,0.44067796610169496,0.5818181818181818
Dell Inspiron 3530 i3U085W11BLU,Dell Inspiron 15 3530 i5U085W11BLU,Dell Inspiron 15 N3530 i5 1335U,0.9230769230769231,0.7419354838709677
Asus Vivobook Go 14 E1404FA-NK177W,Asus VivoBook 14 OLED M1405YA KM047W,Asus Vivobook E1404FA-NK186W R5 7520U,0.6857142857142857,0.7323943661971831
Lenovo ThinkPad T16 G2 21HH003NVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7536231884057971,0.7384615384615385
Lenovo V14 G4 IRU 83A0000RVN,Lenovo V14 G4 IRU 83A0000TVN,Lenovo V14 G4 IRU i5 1335U,0.9642857142857143,0.7037037037037037
Lenovo ThinkBook 16 G6 IRL,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkBook 16 G6 IRL i5-13500H,0.5806451612903225,0.8387096774193549
HP EliteBook 630 G10 9H1N9PT,Dell Vostro 3430 71011900,HP ProBook 440 G10 i7 1360P,0.41509433962264153,0.5818181818181818
Asus Vivobook 15X OLED M3504YA-L1332W,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,0.7945205479452055,0.7228915662650602
Lenovo ThinkPad E14 GEN 5 21JK00FSVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7777777777777778,0.7647058823529411
HP Pavilion x360 14-ek1049TU 80R27PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion X360 14-ek1047TU i7-1355U,0.6865671641791045,0.7671232876712328
HP Pavilion 15-eg3091TU 8C5L2PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 15-eg3095TU i5 1335U,0.967741935483871,0.7619047619047619
HP ProBook 440 G10 873C1PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP ProBook 440 G10 i7 1360P,0.45614035087719296,0.8301886792452831
HP ProBook 440 G10 873B2PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP ProBook 440 G10 i7 1360P,0.45614035087719296,0.8301886792452831
Acer Aspire Gaming A715 76G 5806 NH.QMFSV.002,gaming Acer Aspire 7 A715 76G 5806,Acer Aspire 7 Gaming A715-76G-5806 i5 12450H,0.6582278481012658,0.7191011235955056
HP Gaming Victus 15-fa1089TX 8C5M6PA,gaming HP VICTUS 16-r0129TX 8C5N4PA,HP Gaming Victus 15-fb1022AX R5-7535HS,0.5633802816901409,0.7027027027027026
Dell Inspiron 3530 N5I5489W1,Dell Inspiron 15 3530 i5U085W11BLU,Dell Inspiron 15 N3530 i5 1335U,0.7419354838709677,0.711864406779661
Asus Zenbook 14 OLED UX3405MA PP588W,ASUS Zenbook 14 OLED UX3405MA PP588W,Asus Zenbook 14 OLED UX3405MA-PP588W Ultra 5-125H,0.9166666666666666,0.8235294117647058
Lenovo LOQ Gaming 15IARX9 83GS000RVN,gaming Lenovo LOQ 15IAX9 83GS001RVN,Lenovo Gaming LOQ - 15IRX9 i7 13650HX,0.7605633802816901,0.6301369863013699
Lenovo ThinkPad X1 Carbon Gen 12,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7/20XW00GDVN,0.7058823529411764,0.7619047619047619
Lenovo IdeaPad Slim 5 16IMH9 OLED 83DC001SVN,Lenovo IdeaPad Slim 5 14IMH9 83DA001NVN,Lenovo IdeaPad Slim 5 14IMH9 U7-155H,0.8674698795180723,0.725
Asus Zenbook Flip UP3404VA-KN038W,Asus ZenBook Flip OLED UP3404VA KN038W,Asus Zenbook Flip UP3404VA-KN039W i7 1360P,0.8732394366197183,0.8533333333333333
Dell Vostro 3530 i7U085W11GRD2,Dell Vostro 15 V3530 i7U085W11GRD2,Dell Vostro V3520 i5 1235U_71030559,0.9375,0.6153846153846154
HP Gaming Victus 15-fa1155TX 952R1PA,gaming HP VICTUS 15-fb1022AX 94F19PA,HP Gaming Victus 15-fb1022AX R5-7535HS,0.5277777777777778,0.6756756756756757
HP Pavilion 14-dv2076TU 7C0P4PA,HP Pavilion 15 eg3093TU 8C5L4PA,HP Pavilion 14-dv2071TU i7 1255U,0.6774193548387097,0.7619047619047619
HP Pavilion 14-dv2075TU 7C0W2PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 14-dv2071TU i7 1255U,0.6774193548387097,0.7936507936507937
Asus Zenbook 14 OLED UX3405MA-PP151W,ASUS Zenbook 14 OLED UX3405MA PP151W,Asus Zenbook 14 OLED UX3405MA-PP588W Ultra 5-125H,0.8888888888888888,0.8
HP ProBook 450 G10 9H1N5PT,HP Pavilion 15 eg3091TU 8C5L2PA,HP ProBook 440 G10 i7 1360P,0.45614035087719296,0.7547169811320755
Asus Vivobook 14 X1404ZA-NK389W,Asus VivoBook 14 OLED M1405YA KM047W,Asus Vivobook 14 X1404ZA-NK389W i7-1255U,0.6567164179104478,0.8732394366197183
Asus Vivobook 15 OLED A1505VA-L1491W,Asus Vivobook 15 OLED A1505VA L1114W,Asus Vivobook A15 OLED A1505VA-L1491W i7-13700H,0.9166666666666666,0.8674698795180723
Lenovo IdeaPad Slim 3 15IRH8 83EM003FVN,Lenovo Ideapad Slim 3 15ABR8 82XM00EJVN,Lenovo Ideapad Slim 3 15IRH8 i7 13620H,0.8205128205128205,0.7792207792207793
Lenovo IdeaPad Slim 3 15IRH8 83EM003EVN,Lenovo Ideapad Slim 3 15ABR8 82XM00EJVN,Lenovo Ideapad Slim 3 15IRH8 i7 13620H,0.8461538461538461,0.7792207792207793
LG Gram 2023 14Z90R-G.AH53A5,LG Gram 2023 14Z90R GAH53A5,LG Gram 14T90R-G.AH55A5 i5 1340P,0.9454545454545454,0.7
Asus Zenbook S13 OLED UX5304VA-NQ125W,Asus ZenBook Flip OLED UP3404VA KN038W,Asus Zenbook 14 OLED UX3402VA-KM068W i7 1360P,0.6933333333333334,0.6829268292682926
Lenovo ThinkPad T16 G2 21HH003PVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.7536231884057971,0.7384615384615385
HP Gaming Victus 16-r0129TX 8C5N4PA,gaming HP VICTUS 16-r0129TX 8C5N4PA,HP Gaming Victus 16-s0078AX R5 7640HS,0.7428571428571429,0.6944444444444444
HP Pavilion 15-eg3098TU 8C5L9PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 15-eg3095TU i5 1335U,0.9032258064516129,0.7619047619047619
Lenovo ThinkPad T14 GEN 4,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.6557377049180328,0.7457627118644068
Acer Aspire A715 76 728X NH.QGESV.008,Acer Aspire 7 A715 76 57CY,Acer Aspire 7 A715-76-53PJ i5 12450H,0.6666666666666667,0.5753424657534247
Lenovo ThinkPad T14 GEN 4,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.6557377049180328,0.7457627118644068
Asus Vivobook S3504VA-L1227WS,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook S3504VA-L1227WS i7 1360P,0.676923076923077,0.8656716417910448
Apple Macbook Air MLXW3SA/A,ASUS Zenbook 14 OLED UX3405MA PP588W,Macbook Air 13 2020 M1/8GB/256GB SSD,0.38095238095238093,0.4444444444444444
Lenovo ThinkPad E14 GEN 5 21JK00FMVN,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.8333333333333334,0.7647058823529411
HP ProBook 450 G10 9H1N4PT,HP Pavilion 15 eg3091TU 8C5L2PA,HP ProBook 440 G10 i5 1340P,0.42105263157894735,0.7924528301886793
MSI Gaming GF63 12VE-454VN,gaming MSI GF63 Thin 12VE 460VN,MSI Gaming Thin GF63 12VE-454VN i5 12450H,0.631578947368421,0.7761194029850746
Lenovo Legion Gaming 5 16IRX9 83DG004YVN,gaming Lenovo Legion 5 16IRX9 83DG004YVN,Lenovo Legion Pro 5 16IRX9 i9 14900HX,0.825,0.6753246753246753
Acer Aspire A515-58P-71EJ NX.KHJSV.00A,Acer Aspire 5 A515 58M 56YX,Acer Aspire 5 A515-58P-71EJ i7 1355U,0.6153846153846154,0.7027027027027026
Acer Aspire A514 56P 562P NX.KHRSV.008,Acer Aspire 5 A514 56P 562P,Acer Aspire 3 A315-44P-R5QG R7-5700U,0.7692307692307692,0.5675675675675675
Dell Latitude L54401335U16512G,Dell Latitude 3520 P108F001 70280538,Dell Vostro V3520 i5 1235U_71030559,0.5757575757575757,0.46153846153846156
Asus TUF Gaming FA506NF-HN005W,gaming ASUS TUF Gaming A15 FA506NC HN011W,Asus TUF Gaming A15 FA506NF-HN005W R5-7535HS,0.647887323943662,0.8108108108108107
Lenovo ThinkPad X1 Carbon Gen 12,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7/20XW00GDVN,0.7058823529411764,0.7619047619047619
Lenovo IdeaPad Slim 5 16IMH9 OLED 83DC001RVN,Lenovo IdeaPad Slim 5 14IMH9 83DA001NVN,Lenovo IdeaPad Slim 5 14IMH9 U7-155H,0.8674698795180723,0.725
Asus Zenbook UX3402VA-KM203W,ASUS Zenbook 14 OLED UX3402VA KM203W,Asus Zenbook 14 OLED UX3402VA-KM068W i7 1360P,0.75,0.7123287671232876
MSI Gaming Cyborg 15 A12UCX-281VN,Gaming MSI Cyborg 15 A12UCX 281VN,MSI Gaming Cyborg 15 A12UCX-281VN i5 12450H,0.8484848484848485,0.868421052631579
Acer Aspire A314 23M R4TX NX.KEXSV.001,Acer Aspire 5 A515 58M 56YX,Acer Aspire 3 A314-23M-R4TX R5 7520U,0.5538461538461539,0.6756756756756757
Asus Vivobook Flip TP3402VA-LZ025W,ASUS Vivobook S 14 Flip TN3402YA LZ192W,Asus Vivobook Flip TP3402VA-LZ118W i9 13900H,0.7123287671232876,0.7948717948717949
Asus ExpertBook B1500CBA-BQ1587W,ASUS Expertbook B1 B1402CBA NK1535W,Asus Vivobook X1502ZA-BQ126W i5 1240P,0.6268656716417911,0.5217391304347826
HP 240 G10 8F133PA,gaming HP OMEN 16 wf0129TX 8W943PA,HP 240 G10 i3-N305,0.42307692307692313,0.7222222222222222
Acer Gaming Nitro ANV15 51 55CA NH.QN8SV.004,gaming Acer Nitro V ANV15 51 55CA,Acer Nitro V Gaming ANV15-51-55CA i5 13420H,0.6493506493506493,0.5747126436781609
Gigabyte Gaming G5 MF5 52VN353SH,gaming Gigabyte G5 MF5 52VN353SH,Gigabyte Gaming G5 MF5-52VN353SH i5 13500H,0.78125,0.8378378378378378
Acer Aspire A715 76 53PJ NH.QGESV.007,Acer Aspire 7 A715 76 53PJ,Acer Aspire 7 A715-76-53PJ i5 12450H,0.7619047619047619,0.6575342465753424
Lenovo ThinkPad X13 GEN 4,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E14 Gen 4 i7 1255U,0.6557377049180328,0.711864406779661
HP Gaming Victus 16-s0077AX 8C5N6PA,gaming HP VICTUS 16-s0078AX 8C5N7PA,HP Gaming Victus 16-s0078AX R5 7640HS,0.6857142857142857,0.8055555555555556
